32-bit	adjective	32 bites		
64-bit	adjective	64 bites		
abbreviated	adjective	rövidített		
abbreviation	noun	rövidítés		
abort	verb	megszakítani		
about X		A(z) X névjegye		
absence of sg		vmi hiánya		
absent	adjective	hiányzó		
absolute record		abszolút hivatkozás		
absolute value		abszolút érték		
abstract	adjective	elvont		
abstract	adjective	elvonatkoztatott		
abstract	adjective	absztrakt	programozás	
abstract	noun	kivonat		
AC	noun	hálózati tápellátás		Szó szerint Alternating Current, vagyis váltóáram.
acceleration	noun	gyorsítás		Olyan értelemben, mint a hardveres gyorsítás.
accelerator	noun	hívóbetű		Az Alt billentyűvel használhatók a grafikus alkalmazásokban.
accent	noun	ékezet		
accept	verb	elfogadni		
accept changes		változások elfogadása		
accept or discard		elfogadás vagy elutasítás		
accepted	adjective	elfogadva		
access	noun	hozzáférés		
access control list		hozzáférés-vezérlési lista		
access denied		hozzáférés megtagadva		
access key		hívóbetű		A Microsoft így nevezi a saját terminológiában.
access point		hozzáférési pont		
accessibility	noun	akadálymentesítés		**Nem** kisegítő lehetőségek.
accessories	noun	kellékek		
accessories	noun	kiegészítők		
accessory	noun	kiegészítő		
account	noun	fiók		Esetleg felhasználói fiók.
accuracy	noun	pontosság		
acronym	noun	betűszó		Angolul nincs külön szó a betűszavakra és mozaikszavakra.
acronym	noun	mozaikszó		Angolul nincs külön szó a betűszavakra és mozaikszavakra.
action	noun	művelet		
activate	verb	bekapcsolni		
active	adjective	aktív		
actual	adjective	tényleges		**Nem** aktuális.
ad-hoc	adjective	eseti		
add	verb	hozzáadni		
add-in		kiegészítő		
additional parameter		további paraméter		
addon		bővítmény		
address	noun	cím		
address book	noun	címjegyzék		
address field		címmező		
address space		címtér (IP)		
addressee		címzett		
adhoc		eseti		
adjust	verb	módosítani		
adjust	verb	igazítani		
administration	noun	adminisztráció		
administration	noun	adminisztráció		
administration	noun	felügyelet		
administrator	noun	rendszergazda		
advance slides		dia továbbítása		
advanced	adjective	fejlett		**Nem** haladó
advanced	adjective	speciális		Legtipikusabb példa: *advanced options* – *speciális beállítások*.
advanced	adjective	tapasztalt		Legtipikusabb példa: *advanced user* – *tapasztalt felhasználó*.
advantage	noun	előny		
affiliation	noun	kapcsolat		
agenda	noun	napirend		
agent	noun	ügynök		
aggregate	noun	összetett		
aggregate	adjective	aggregálás		
airbrush	noun	festékszóró		
alarm	noun	figyelmeztetés		
album art		albumgrafika		
alert	noun	riasztás		
alert	noun	értesítés		
alert	noun	figyelmeztetés		
alias	noun	álnév		
align	verb	igazítani		
alignment	noun	igazítás		
allocate	verb	lefoglalni		
allow	verb	engedélyezni		
allow	verb	lehetővé tenni		
alpha	adjective	alfa		
alpha channel		alfa csatorna		
alphabet	noun	ábécé		**Nem** ABC.
alphabetical delimiter		alfabetikus határoló		
alphabetical index		tárgymutató		
alphabetical order		betűrend		
alternate	adjective	alternatív		
alternating	adjective	váltakozó		
alternatively	adverb	ennek alternatívájaként		
altitude	noun	magasság		
ambient light		háttérfény		
amount	noun	mennyiség		
amount	noun	összeg		
analog	adjective	analóg		
analysis	noun	analízís	matematika	
analysis	noun	elemzés		
anchor	noun	horgony		
and more!		és sok más(t)!		
angle	noun	szög		
angled connector line		cikkcakkos összekötő vonal		
animation	noun	animáció		
annotation	noun	magyarázat		
announce	verb	bejelenteni		
announcement	noun	bejelentés		
anonymous	adjective	névtelen		
answer mode		válaszadási mód		
antialiasing	noun	élsimítás		
anyway	adverb	mindenképp		
aperture value		apertúraérték		
appearance	noun	megjelenés		
append	verb	hozzáfűzni		
appendix	noun	függelék		
applet	noun	kisalkalmazás		
appliance	noun	készülék		
appliance	noun	eszköz		
application	noun	alkalmazás		
application launcher		alkalmazásindító		
apply	verb	alkalmazni		Feliratként *alkalmaz*, az *alkalmazással* egybeesés elkerülése miatt.
appointment	noun	értekezlet		
approve	verb	elfogadni		
arc	noun	ív		
arcade	noun	ügyességi		Játékkategória.
arcade	noun	játékterem		A játéktermi gépeket is ugyanígy hívják.
architecture	noun	architektúra	hardver	Például: *x86 utasításkészlet-architektúra* vagy *3 rétegű szoftverarchitektúra*
archive	noun	archívum		
archive file		archívumfájl		
arctangent	noun	arkusz tangens		
arcsine	noun	arkusz szinusz		
are you sure?		biztos benne?		
area	noun	terület		
argument	noun	argumentum		
arrange	verb	elrendezni		
array	noun	tömb		
arrow	noun	nyíl		
arrow key		nyílbillentyű		
arrowheads	noun	nyílhegyek		
article	noun	cikk		
article	noun	cikkely	jog	
artist	noun	előadó	zene	
artwork	noun	grafika		
ascending	adjective	növekvő		
ascending	adjective	növekvő		
aspect ratio		méretarány		
assertion failure		érvényesítési hiba		
assessment	noun	felmérés		
assign	verb	hozzárendelni		
assignment	noun	hozzárendelés		
assistant	noun	segéd		
assistant	noun	asszisztens	GNOME	A GTK egyik felületi eleme, l. GtkAssistant
asynchronous	adjective	aszinkron		
attach	verb	csatolni		
attach	verb	mellékelni		
attachment	noun	melléklet		**Nem** csatolmány.
attribute	noun	attribútum		
audio	noun	hang		
audio feature		hangszolgáltatás		
audio file		hangfájl		
audiobook	noun	Hangoskönyv		
audit	noun	audit		
