32-bit	adjective	32 bites		
64-bit	adjective	64 bites		
abbreviated	adjective	rövidített		
abbreviation	noun	rövidítés		
abort	verb	megszakítani		
about X		A(z) X névjegye		
absence of sg		vmi hiánya		
absent	adjective	hiányzó		
absolute record		abszolút hivatkozás		
absolute value		abszolút érték		
abstract	adjective	absztrakt	programozás	
abstract	adjective	elvonatkoztatott		
abstract	adjective	elvont		
abstract	noun	kivonat		
AC	noun	hálózati tápellátás		Szó szerint Alternating Current, vagyis váltóáram.
acceleration	noun	gyorsítás		Olyan értelemben, mint a hardveres gyorsítás.
accelerator	noun	hívóbetű		Az Alt billentyűvel használhatók a grafikus alkalmazásokban.
accent	noun	ékezet		
accept	verb	elfogadni		
accept changes		változások elfogadása		
accepted	adjective	elfogadva		
accept or discard		elfogadás vagy elutasítás		
access	noun	hozzáférés		
access control list		hozzáférés-vezérlési lista		
access denied		hozzáférés megtagadva		
accessibility	noun	akadálymentesítés		**Nem** kisegítő lehetőségek.
access key		hívóbetű		A Microsoft így nevezi a saját terminológiában.
accessories	noun	kellékek		
accessories	noun	kiegészítők		
accessory	noun	kiegészítő		
access point		hozzáférési pont		
account	noun	fiók		Esetleg felhasználói fiók.
accuracy	noun	pontosság		
acronym	noun	betűszó		Angolul nincs külön szó a betűszavakra és mozaikszavakra.
acronym	noun	mozaikszó		Angolul nincs külön szó a betűszavakra és mozaikszavakra.
action	noun	művelet		
activate	verb	bekapcsolni		
active	adjective	aktív		
actual	adjective	tényleges		**Nem** aktuális.
add	verb	hozzáadni		
add-in		kiegészítő		
additional parameter		további paraméter		
addon		bővítmény		
address	noun	cím		
address book	noun	címjegyzék		
addressee		címzett		
address field		címmező		
address space		címtér (IP)		
ad-hoc	adjective	eseti		
adhoc		eseti		
adjust	verb	igazítani		
adjust	verb	módosítani		
administration	noun	adminisztráció		
administration	noun	felügyelet		
administrator	noun	rendszergazda		
advanced	adjective	fejlett		**Nem** haladó
advanced	adjective	speciális		Legtipikusabb példa: *advanced options* – *speciális beállítások*.
advanced	adjective	tapasztalt		Legtipikusabb példa: *advanced user* – *tapasztalt felhasználó*.
advance slides		dia továbbítása		
advantage	noun	előny		
affiliation	noun	kapcsolat		
agenda	noun	napirend		
agent	noun	ügynök		
aggregate	adjective	aggregálás		
aggregate	noun	összetett		
AI	noun	+gépi játékos	játék	
airbrush	noun	festékszóró		
alarm	noun	figyelmeztetés		
album art		albumgrafika		
alert	noun	értesítés		
alert	noun	figyelmeztetés		
alert	noun	riasztás		
alias	noun	álnév		
align	verb	igazítani		
alignment	noun	igazítás		
allocate	verb	lefoglalni		
allow	verb	engedélyezni		
allow	verb	lehetővé tenni		
alpha	adjective	alfa		
alphabet	noun	ábécé		**Nem** ABC.
alphabetical delimiter		alfabetikus határoló		
alphabetical index		tárgymutató		
alphabetical order		betűrend		
alpha channel		alfa csatorna		
alternate	adjective	alternatív		
alternating	adjective	váltakozó		
alternatively	adverb	ennek alternatívájaként		
altitude	noun	magasság		
ambient light		háttérfény		
amend	verb	+javítás	verziókezelés	
amount	noun	mennyiség		
amount	noun	összeg		
analog	adjective	analóg		
analysis	noun	analízís	matematika	
analysis	noun	elemzés		
anchor	noun	horgony		
and more!		és sok más(t)!		
angle	noun	szög		
angled connector line		cikkcakkos összekötő vonal		
animation	noun	animáció		
annotation	noun	magyarázat		
announce	verb	bejelenteni		
announcement	noun	bejelentés		
anonymous	adjective	névtelen		
answer mode		válaszadási mód		
antialiasing	noun	élsimítás		
anyway	adverb	mindenképp		
aperture value		apertúraérték		
appearance	noun	megjelenés		
append	verb	hozzáfűzni		
appendix	noun	függelék		
applet	noun	kisalkalmazás		
appliance	noun	eszköz		
appliance	noun	készülék		
application	noun	alkalmazás		
application launcher		alkalmazásindító		
apply	verb	alkalmazni		Feliratként *alkalmaz*, az *alkalmazással* egybeesés elkerülése miatt.
apply	verb	+alkalmazni	verziókezelés	
appointment	noun	értekezlet		
approve	verb	elfogadni		
arcade	noun	játékterem		A játéktermi gépeket is ugyanígy hívják.
arcade	noun	ügyességi		Játékkategória.
arc	noun	ív		
architecture	noun	architektúra	hardver	Például: *x86 utasításkészlet-architektúra* vagy *3 rétegű szoftverarchitektúra*
archive	noun	archívum		
archive file		archívumfájl		
arcsine	noun	arkusz szinusz		
arctangent	noun	arkusz tangens		
area	noun	terület		
are you sure?		biztos benne?		
argument	noun	argumentum		
arrange	verb	elrendezni		
array	noun	tömb		
arrow	noun	nyíl		
arrowheads	noun	nyílhegyek		
arrow key		nyílbillentyű		
article	noun	cikk		
article	noun	cikkely	jog	
artifact	noun	+hiba		rendering
artist	noun	előadó	zene	
artwork	noun	grafika		
ascending	adjective	növekvő		
aspect ratio		méretarány		
assertion failure		érvényesítési hiba		
assessment	noun	felmérés		
assign	verb	hozzárendelni		
assignment	noun	hozzárendelés		
assistant	noun	asszisztens	GNOME	A GTK egyik felületi eleme, l. GtkAssistant
assistant	noun	segéd		
asynchronous	adjective	aszinkron		
attach	verb	csatolni		
attach	verb	mellékelni		
attachment	noun	melléklet		**Nem** csatolmány.
attribute	noun	attribútum		
attribution	noun	+forrásmegjelölés		
