...	…	!
\'	„”	!
\"	„”	!
32 bit	32 bites (rendszer)	!
64 bit	64 bites (rendszer)	!
abbreviated	rövidített	!
abort	megszakítás	!
about	Névjegy	!
absence, of sg	(vmi) hiánya	!
absent	hiányzó	!
absolute record	abszolút hivatkozás	!
absolute value	abszolút érték	!
Abstract	Elvont, elvonatkoztatott, kivonat, kivonatolt, absztrakt	!
acceleration	gyorsítás	!
accelerator	hívóbetű (_UI-n)	?
accent	ékezet	!
accept changes	változások elfogadása	!
accepted	elfogadva	!
Accept	Elfogadás	!
accept or discard	elfogadás vagy elutasítás	!
access  control list	hozzáférés-vezérlési lista	!
access denied	hozzáférés megtagadva	!
access	hozzáférés	!
accessibility	akadálymentesítés	!
access key	hívóbetű (_UI, MS-izmus)	!
accessories	kellékek, kiegészítők	!
accessory	kiegészítő	!
access point	hozzáférési pont	!
account	felhasználói fiók, fiók	!
account name	fiók neve	!
accuracy	pontosság	!
ac	hálózati tápellátás	!
acronym	betűszó	!
action	művelet	!
activate	bekapcsolás	!
Active	Aktív	!
actual	tényleges (NEM: aktuális)	!
add	hozzáadás	!
add-in	kiegészítő	!
additional parameter	további paraméter	!
addition +	Összeadás +	!
addon	bővítmény	!
Address book	címjegyzék	!
Addressbook	címjegyzék	!
Address	Cím	!
addressee	címzett	!
address field	címmező	!
address space	címtér (IP)	!
ad-hoc	eseti	!
adhoc	eseti	!
adjust	módosítás, igazítás	?
Administration	Adminisztráció	!
administration	Adminisztráció, ?Felügyelet	?
administrator	rendszergazda	!
advanced	fejlett, speciális (extra beállítások elérése), tapasztalt (felhasználó), NEM: haladó 	!
advance slides	dia továbbítása	!
advantage	előny	!
affiliation	kapcsolat	!
agenda	napirend	!
agents	Ügynökök	!
Aggregate	Összetett	!
aging	elévülés	!
airbrush	festékszóró	!
Alarm	Figyelmeztetés	!
album art	albumgrafika	!
alert	riasztás, értesítés, figyelmeztetés 	?
alias	álnév	!
Align	Igazítás	!
alignment	igazítás	!
allocate	lefoglalni	!
allow	engedélyez, lehetővé tesz	!
allow moving	mozgatás engedélyezése	!
Alpha	Alfa	!
alphabet	ábécé	!
alphabetical delimiter	alfabetikus határoló	!
alphabetical index	tárgymutató	!
alpha channel	alfa csatorna	!
already completed	már elkészült	!
alternate	alternatív	!
alternating	váltakozó	!
alternatively	ennek alternatívájaként	!
altitude	magasság	!
ambient light	háttérfény	!
amount	mennyiség, összeg (pénz)	!
Analog	Analóg	!
Analysis	Analízis	!
Anchor	Horgony	!
AND	ÉS	!
and more!	és sok más(t)! (általános BS, ~stb.)	!
angled connector line	cikkcakkos összekötő vonal	!
angle	szög	!
Animation	Animáció	!
annotation	magyarázat	!
announce	bejelenteni, bejelentés	!
Anonymous	Névtelen	!
Answer mode	Válaszadási mód	!
Antialiasing	Élsimítás	!
anyway	mindenképp	!
aperture value	Apertúraérték	!
appearance	megjelenés	!
Append	Hozzáfűzés	!
appendix	függelék, vakbél	!
Applet	Kisalkalmazás	!
appliance	készülék, eszköz?	!
Application	Alkalmazás	!
Application Launcher	Alkalmazásindító	!
apply	alkalmaz	!
appointment	értekezlet	!
approved	elfogadva	!
